p	T	rho	z
1.5410e-07	361.90	1.1050e-08	396.81
1.6550e-07	344.20	1.2520e-08	392.60
1.7840e-07	324.00	1.4390e-08	388.39
1.9340e-07	302.90	1.6750e-08	384.20
2.1070e-07	289.30	1.9160e-08	380.01
2.3040e-07	276.50	2.2000e-08	375.84
2.5290e-07	268.10	2.4990e-08	371.67
2.7840e-07	258.20	2.8670e-08	367.51
3.0840e-07	241.10	3.4120e-08	363.36
3.4370e-07	230.50	3.9920e-08	359.22
3.8340e-07	230.60	4.4680e-08	355.09
4.3120e-07	208.60	5.5740e-08	350.97
4.8790e-07	204.50	6.4530e-08	346.86
5.5370e-07	200.20	7.4980e-08	342.76
6.2960e-07	197.50	8.6620e-08	338.67
7.1790e-07	193.10	1.0130e-07	334.59
8.2000e-07	192.40	1.1640e-07	330.52
9.3550e-07	195.30	1.3110e-07	326.45
1.0660e-06	196.50	1.4870e-07	322.40
1.2150e-06	194.30	1.7170e-07	318.35
1.3830e-06	200.10	1.9010e-07	314.32
1.5690e-06	204.30	2.1150e-07	310.29
1.7750e-06	207.20	2.3630e-07	306.28
2.0110e-06	197.10	2.8160e-07	302.27
2.3170e-06	169.40	3.7810e-07	298.27
2.6850e-06	171.90	4.3190e-07	294.29
3.1300e-06	160.10	5.4090e-07	290.31
3.6840e-06	152.70	6.6790e-07	286.34
4.3430e-06	154.20	7.8030e-07	282.38
5.1220e-06	153.40	9.2510e-07	278.43
6.0100e-06	160.30	1.0400e-06	274.50
7.0220e-06	160.80	1.2110e-06	270.57
8.2470e-06	152.50	1.5010e-06	266.65
9.7390e-06	149.70	1.8050e-06	262.74
1.1500e-05	151.70	2.1030e-06	258.84
1.3530e-05	155.00	2.4240e-06	254.95
1.5830e-05	160.80	2.7330e-06	251.07
1.8460e-05	161.00	3.1840e-06	247.20
2.1580e-05	156.80	3.8210e-06	243.34
2.5280e-05	155.60	4.5100e-06	239.49
2.9580e-05	156.80	5.2390e-06	235.65
3.4650e-05	155.20	6.2000e-06	231.82
4.0500e-05	158.60	7.0920e-06	228.00
4.7160e-05	160.70	8.1530e-06	224.19
5.5040e-05	156.60	9.7660e-06	220.40
6.4130e-05	160.10	1.1130e-05	216.61
7.4720e-05	157.90	1.3150e-05	212.84
8.6980e-05	159.50	1.5150e-05	209.08
0.00010120	158.60	1.7720e-05	205.33
0.00011780	157.50	2.0780e-05	201.60
0.00013700	158.70	2.3980e-05	197.88
0.00015930	158.50	2.7910e-05	194.17
0.00018460	161.50	3.1750e-05	190.48
0.00021420	157.50	3.7780e-05	186.80
0.00024840	159.00	4.3420e-05	183.15
0.00028810	157.40	5.0870e-05	179.51
0.00033400	158.60	5.8520e-05	175.88
0.00038580	162.30	6.6060e-05	172.28
0.00044420	165.10	7.4730e-05	168.70
0.00050900	169.70	8.3350e-05	165.15
0.00058230	168.30	9.6150e-05	161.62
0.00066560	168.80	0.00010960	158.11
0.00075990	168.70	0.00012520	154.63
0.00086670	168.00	0.00014330	151.19
